id,location_name,lat,lon,geolocation_method,geolocation_confidence,observed_date,depth_band_low_m,depth_band_high_m,depth_cue,depth_confidence,source_url,source_publication_date,source_quote,retrieved_at_utc,in_bbmp_kml,notes
GT_11,Koramangala 4th Block,12.93278,77.62941,NAMED_LANDMARK,HIGH,2022-09-05,0.5,0.7,at car door sill,HIGH,https://www.dailyo.in/news/bengaluru-rains-37221,2022-09-06,Visuals from Koramangala where basements of shops and apartments are flooded after heavy overnight rainfall.,2026-08-17T06:57:12Z,False,Koramangala 4th Block commercial street and basements flooded.
GT_12,Sai Layout Horamavu Hennur,13.0315,77.6582,NAMED_LANDMARK,HIGH,2022-09-05,0.85,1.1,car bonnet / waist on an adult,HIGH,https://www.thehindu.com/news/national/karnataka/bengaluru-rains-live-updates-flooded-roads-homes-orr-techies-given-work-from-home-to-avoid-traffic/article65853050.ece,2022-09-05,Sai Layout in Hennur was submerged in knee-deep to waist-deep waters after yesterday’s downpour with residents stranded inside homes.,2026-08-17T06:57:12Z,False,Low-lying layout in Hennur/Horamavu flooded from storm drain backflow.
GT_13,Bilekahalli Bannerghatta Road,12.90463,77.6071,NAMED_LANDMARK,HIGH,2022-09-05,0.35,0.5,at car wheel centre / mid-hubcap,MEDIUM,https://indianexpress.com/article/cities/bangalore/after-heavy-overnight-rain-in-bengaluru-several-areas-waterlogged-traffic-hit-8131782/,2022-09-05,"Complaints of flooding also came in from several other areas like Bilekahalli, Madiwala Lake Road, Silk Board Junction and Bannerghatta Road.",2026-08-17T06:57:12Z,False,Bilekahalli junction on Bannerghatta road inundated.
GT_14,Radha Reddy Layout Doddakannelli,12.9125,77.692,NAMED_LANDMARK,HIGH,2022-08-30,0.85,1.1,car bonnet / waist on an adult,HIGH,https://www.thehindu.com/news/cities/bangalore/parts-of-east-southeast-bengaluru-bear-the-brunt-of-overnight-heavy-downpour/article65830916.ece,2022-08-30,"Radha Reddy Layout in Doddakannelli, Sarjapura Road, was completely submerged too. Krishna Prasad, a resident said everyone was stuck inside their homes.",2026-08-17T06:57:12Z,False,Doddakannelli layout submerged during first wave of rains on 30 August.
GT_15,Hebbal Flyover Underpass,13.04086,77.5898,NAMED_LANDMARK,HIGH,2022-09-05,0.35,0.5,at car wheel centre / mid-hubcap,MEDIUM,https://indianexpress.com/article/cities/bangalore/after-heavy-overnight-rain-in-bengaluru-several-areas-waterlogged-traffic-hit-8131782/,2022-09-05,"Waterlogging was reported at Hebbal, Hennur, Kengeri, and Sanjaynagar with traffic moving at a snail pace.",2026-08-17T06:57:12Z,False,Hebbal junction and airport road approach inundated.
GT_16,HAL Old Airport Road near Yamalur Junction,12.955,77.674,NAMED_LANDMARK,HIGH,2022-09-05,0.5,0.7,at car door sill,HIGH,https://curlytales.com/bangalore-rains-delay-flights-cause-floods-at-kempegowda-international-airport/,2022-09-06,Severe waterlogging on HAL Old Airport Road with water reaching car door levels as traffic came to a complete halt.,2026-08-17T06:57:12Z,False,Old Airport Road near HAL perimeter inundated.
GT_17,Bellandur Kodi Junction,12.935,77.678,NAMED_LANDMARK,HIGH,2022-09-05,0.85,1.1,car bonnet / waist on an adult,HIGH,https://www.bbc.com/news/world-asia-india-62806237,2022-09-06,"Many parts of Bengaluru, particularly near Bellandur lake and surrounding junctions, have been flooded with emergency services deploying boats and tractors.",2026-08-17T06:57:12Z,False,Bellandur lake waste weir (kodi) overflow flooded surrounding roads.
GT_18,Varthur Kodi Junction,12.942,77.747,NAMED_LANDMARK,HIGH,2022-09-05,0.5,0.75,bus or truck wheel arch,MEDIUM,https://www.thehindu.com/news/national/karnataka/bengaluru-rains-live-updates-flooded-roads-homes-orr-techies-given-work-from-home-to-avoid-traffic/article65853050.ece,2022-09-05,"Varthur Kodi junction was submerged after Varthur lake overflowed, blocking traffic towards Whitefield and Sarjapur.",2026-08-17T06:57:12Z,False,Varthur lake outlet bridge submerged.
GT_19,Munnekollal Main Road,12.9515,77.712,NAMED_LANDMARK,HIGH,2022-09-05,0.85,1.1,car bonnet / waist on an adult,HIGH,https://www.thehindu.com/news/national/karnataka/bengaluru-rains-live-23-year-old-woman-electrocuted-city-receives-third-highest-single-day-rainfall-ever/article65855996.ece,2022-09-06,Residents of Munnekollal locality faced severe flooding with homes and ground floor houses inundated under waist-deep water.,2026-08-17T06:57:12Z,False,Munnekollal low-lying residential area flooded.
GT_20,Hennur Main Road near Geddalahalli,13.037,77.642,NAMED_LANDMARK,HIGH,2022-09-05,0.35,0.5,at car wheel centre / mid-hubcap,MEDIUM,https://indianexpress.com/article/cities/bangalore/after-heavy-overnight-rain-in-bengaluru-several-areas-waterlogged-traffic-hit-8131782/,2022-09-05,Waterlogging reported along Hennur Main road causing heavy traffic slowdowns.,2026-08-17T06:57:12Z,False,Hennur main corridor waterlogging.
GT_21,KR Puram Lake Road,13.003,77.698,NAMED_LANDMARK,MEDIUM,2022-09-05,0.5,0.7,at car door sill,MEDIUM,https://indianexpress.com/article/cities/bangalore/after-heavy-overnight-rain-in-bengaluru-several-areas-waterlogged-traffic-hit-8131782/,2022-09-05,KR Puram lake road and surrounding low lying residential areas were inundated on Monday morning.,2026-08-17T06:57:12Z,False,KR Puram lake road flood extent.
GT_22,Madiwala Lake Road,12.918,77.615,NAMED_LANDMARK,HIGH,2022-09-05,0.35,0.5,at car wheel centre / mid-hubcap,MEDIUM,https://indianexpress.com/article/cities/bangalore/after-heavy-overnight-rain-in-bengaluru-several-areas-waterlogged-traffic-hit-8131782/,2022-09-05,"Complains of flooding also came in from several other areas like Bilekahalli, Madiwala Lake Road, Silk Board Junction.",2026-08-17T06:57:12Z,False,Madiwala lake perimeter road waterlogged.
GT_23,Mahadevapura Ring Road Junction,12.988,77.697,NAMED_LANDMARK,HIGH,2022-09-05,0.5,0.7,at car door sill,MEDIUM,https://www.thehindu.com/news/national/karnataka/heavy-rain-brings-bengaluru-to-its-knees/article65854264.ece,2022-09-05,Mahadevapura zone was the worst hit with water entering over 30 apartment complexes and key junctions along the ring road submerged.,2026-08-17T06:57:12Z,False,Mahadevapura arterial junction waterlogging.
GT_24,Halanayakanahalli Lake Outlet,12.89893,77.69203,NAMED_LANDMARK,HIGH,2022-09-05,,,NONE,,https://citizenmatters.in/rainbow-drive-layout-or-lake-the-man-made-tragedy-of-bengalurus-flood-prone-neighbourhoods-40118,2022-09-05,The breach and overflow of Halanayakanahalli lake upstream flooded downstream valleys and roads leading towards Sarjapur.,2026-08-17T06:57:12Z,False,Extent-only ground truth point at lake overflow outlet.
